tournament_year,team,market_value_eur
2022,Argentina,633200000
2022,Australia,38400000
2022,Belgium,563200000
2022,Brazil,1140000000
2022,Cameroon,155000000
2022,Canada,187300000
2022,Costa Rica,18750000
2022,Croatia,377000000
2022,Denmark,353000000
2022,Ecuador,146500000
2022,England,1260000000
2022,France,1060000000
2022,Germany,855500000
2022,Ghana,216900000
2022,Iran,59530000
2022,Japan,154000000
2022,Mexico,176100000
2022,Morocco,251100000
2022,Netherlands,587250000
2022,Poland,255600000
2022,Portugal,937000000
2022,Qatar,14900000
2022,Saudi Arabia,25200000
2022,Senegal,288000000
2022,Serbia,359500000
2022,South Korea,164480000
2022,Spain,902000000
2022,Switzerland,281000000
2022,Tunisia,62400000
2022,United States,277400000
2022,Uruguay,449700000
2022,Wales,160150000
2018,Argentina,700495100
2018,Australia,49725800
2018,Belgium,753756450
2018,Brazil,921535405
2018,Colombia,255243900
2018,Costa Rica,42221310
2018,Croatia,345001250
2018,Denmark,255015800
2018,Egypt,197192450
2018,England,877158550
2018,France,1035231850
2018,Germany,880237900
2018,Iceland,74246550
2018,Iran,42654700
2018,Japan,70140750
2018,Mexico,147580700
2018,Morocco,120322750
2018,Nigeria,131271550
2018,Panama,9922350
2018,Peru,37180300
2018,Poland,262657150
2018,Portugal,468791120
2018,Russia,119296300
2018,Saudi Arabia,17221550
2018,Senegal,282615900
2018,Serbia,240873600
2018,South Korea,84625100
2018,Spain,1038767400
2018,Sweden,117927700
2018,Switzerland,213387550
2018,Tunisia,52691100
2018,Uruguay,368837700
2014,Algeria,77435390
2014,Argentina,482977374
2014,Australia,45103542
2014,Belgium,345256052
2014,Bosnia-Herzegovina,130690700
2014,Brazil,530071508
2014,Cameroon,135969072
2014,Chile,147610185
2014,Colombia,169283393
2014,Costa Rica,38189861
2014,Cote d'Ivoire,153220354
2014,Croatia,190949303
2014,Ecuador,84860252
2014,England,363982472
2014,France,409615801
2014,Germany,458870928
2014,Ghana,111241506
2014,Greece,89120649
2014,Honduras,33247678
2014,Iran,40048256
2014,Italy,331194810
2014,Japan,123721979
2014,Mexico,69729418
2014,Netherlands,183584624
2014,Nigeria,102173977
2014,Portugal,294826131
2014,Russia,193320717
2014,South Korea,61493343
2014,Spain,497060788
2014,Switzerland,143733488
2014,United States,57164862
2014,Uruguay,192233272
2010,Algeria,51700000
2010,Argentina,388300000
2010,Australia,76175000
2010,Brazil,353100000
2010,Cameroon,152000000
2010,Chile,79850000
2010,Cote d'Ivoire,198975000
2010,Denmark,98500000
2010,England,541500000
2010,France,367500000
2010,Germany,308000000
2010,Ghana,103200000
2010,Greece,100900000
2010,Honduras,48650000
2010,Italy,377000000
2010,Japan,73000000
2010,Mexico,89050000
2010,Netherlands,271050000
2010,New Zealand,13475000
2010,Nigeria,132800000
2010,North Korea,9550000
2010,Paraguay,80450000
2010,Portugal,292100000
2010,Serbia,190950000
2010,Slovakia,87800000
2010,Slovenia,47350000
2010,South Africa,32400000
2010,South Korea,52200000
2010,Spain,650000000
2010,Switzerland,103250000
2010,United States,61700000
2010,Uruguay,137200000
2006,Angola,7500000
2006,Argentina,228000000
2006,Australia,54800000
2006,Brazil,365000000
2006,Costa Rica,7800000
2006,Cote d'Ivoire,98900000
2006,Croatia,93500000
2006,Czech Republic,128000000
2006,Ecuador,9300000
2006,England,341000000
2006,France,270000000
2006,Germany,180000000
2006,Ghana,60000000
2006,Iran,19300000
2006,Italy,378000000
2006,Japan,41600000
2006,Mexico,44900000
2006,Netherlands,207000000
2006,Paraguay,20600000
2006,Poland,66400000
2006,Portugal,234000000
2006,Saudi Arabia,1000000
2006,Serbia and Montenegro,99400000
2006,South Korea,26000000
2006,Spain,329000000
2006,Sweden,106000000
2006,Switzerland,66500000
2006,Togo,11300000
2006,Trinidad and Tobago,4300000
2006,Tunisia,31700000
2006,Ukraine,81400000
2006,United States,38000000
