logistic_weight,gradient_boosting_weight,validation_log_loss,validation_accuracy,selected
0.0,1.0,0.853099423721783,0.6152502910360885,False
0.1,0.9,0.8520411375983943,0.6135040745052387,False
0.2,0.8,0.8516939624946557,0.6129220023282888,True
0.3,0.7,0.8519922084266033,0.6158323632130385,False
0.4,0.6,0.8529174510659701,0.6146682188591386,False
0.5,0.5,0.8544868063443743,0.6140861466821886,False
0.6,0.4,0.8567539386153377,0.6129220023282888,False
0.7,0.30000000000000004,0.8598214680381053,0.610011641443539,False
0.8,0.19999999999999996,0.8638732297461031,0.610011641443539,False
0.9,0.09999999999999998,0.869259027711527,0.6053550640279395,False
1.0,0.0,0.8767872001287041,0.60011641443539,False
