decision_threshold,decision_max_win_prob_gap,decision_accuracy,top_probability_accuracy,predicted_draws,actual_draws,draw_recall,draw_precision
0.34,0.25,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.2,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.15,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.12,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.1,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.08,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.06,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.34,0.04,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.25,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.2,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.15,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.12,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.1,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.08,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.06,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.32,0.04,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.25,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.2,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.15,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.12,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.1,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.08,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.06,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.3,0.04,0.5994718309859155,0.5994718309859155,0,1837,0.0,0.0
0.28,0.25,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.2,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.15,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.12,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.1,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.08,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.06,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.28,0.04,0.5994718309859155,0.5994718309859155,1,1837,0.0,0.0
0.24,0.04,0.5954476861167002,0.5994718309859155,383,1837,0.06369080021774633,0.30548302872062666
0.26,0.04,0.5954476861167002,0.5994718309859155,383,1837,0.06369080021774633,0.30548302872062666
0.22,0.04,0.5954476861167002,0.5994718309859155,383,1837,0.06369080021774633,0.30548302872062666
0.2,0.04,0.5954476861167002,0.5994718309859155,383,1837,0.06369080021774633,0.30548302872062666
0.2,0.06,0.5935613682092555,0.5994718309859155,557,1837,0.08982035928143713,0.296229802513465
0.22,0.06,0.5935613682092555,0.5994718309859155,557,1837,0.08982035928143713,0.296229802513465
0.26,0.06,0.5935613682092555,0.5994718309859155,557,1837,0.08982035928143713,0.296229802513465
0.24,0.06,0.5935613682092555,0.5994718309859155,557,1837,0.08982035928143713,0.296229802513465
0.24,0.08,0.5930583501006036,0.5994718309859155,723,1837,0.12084921066956995,0.3070539419087137
0.26,0.08,0.5930583501006036,0.5994718309859155,723,1837,0.12084921066956995,0.3070539419087137
0.22,0.08,0.5930583501006036,0.5994718309859155,723,1837,0.12084921066956995,0.3070539419087137
0.2,0.08,0.5930583501006036,0.5994718309859155,723,1837,0.12084921066956995,0.3070539419087137
0.2,0.1,0.5902917505030181,0.5994718309859155,867,1837,0.14207947740881874,0.30103806228373703
0.22,0.1,0.5902917505030181,0.5994718309859155,867,1837,0.14207947740881874,0.30103806228373703
0.26,0.1,0.5902917505030181,0.5994718309859155,867,1837,0.14207947740881874,0.30103806228373703
0.24,0.1,0.5902917505030181,0.5994718309859155,867,1837,0.14207947740881874,0.30103806228373703
0.26,0.25,0.5881539235412475,0.5994718309859155,961,1837,0.15514425694066414,0.29656607700312176
0.26,0.2,0.5881539235412475,0.5994718309859155,961,1837,0.15514425694066414,0.29656607700312176
0.26,0.15,0.5881539235412475,0.5994718309859155,961,1837,0.15514425694066414,0.29656607700312176
0.26,0.12,0.5881539235412475,0.5994718309859155,961,1837,0.15514425694066414,0.29656607700312176
0.22,0.12,0.5871478873239436,0.5994718309859155,1013,1837,0.16494284158954817,0.29911154985192495
0.2,0.12,0.5871478873239436,0.5994718309859155,1013,1837,0.16494284158954817,0.29911154985192495
0.24,0.12,0.5871478873239436,0.5994718309859155,1013,1837,0.16494284158954817,0.29911154985192495
0.2,0.15,0.5808601609657947,0.5994718309859155,1243,1837,0.195971692977681,0.28962188254223653
0.24,0.15,0.5808601609657947,0.5994718309859155,1243,1837,0.195971692977681,0.28962188254223653
0.22,0.15,0.5808601609657947,0.5994718309859155,1243,1837,0.195971692977681,0.28962188254223653
0.22,0.2,0.5754527162977867,0.5994718309859155,1611,1837,0.2580293957539467,0.2942271880819367
0.2,0.2,0.5754527162977867,0.5994718309859155,1611,1837,0.2580293957539467,0.2942271880819367
0.24,0.2,0.5754527162977867,0.5994718309859155,1611,1837,0.2580293957539467,0.2942271880819367
0.24,0.25,0.5710513078470825,0.5994718309859155,1811,1837,0.2896026129559064,0.2937603533959139
0.2,0.25,0.5663983903420523,0.5994718309859155,1998,1837,0.3162765378334241,0.2907907907907908
0.22,0.25,0.5663983903420523,0.5994718309859155,1998,1837,0.3162765378334241,0.2907907907907908
