C,class_weight,draw_probability_multiplier,validation_accuracy,validation_log_loss,selected
0.05,none,0.85,0.6210670314637483,0.8395166939092842,False
0.05,none,0.95,0.6210670314637483,0.8357387772261569,False
0.05,none,1.0,0.6210670314637483,0.8346527164138392,False
0.05,none,1.05,0.6176470588235294,0.8340182702922613,False
0.05,none,1.1,0.6162790697674418,0.8337841622056424,True
0.05,none,1.15,0.6101231190150479,0.8339062991690989,False
0.05,none,1.2,0.603967168262654,0.8343465306685991,False
0.05,0:1;1:1.25;2:1,0.85,0.6183310533515732,0.8339417558204817,False
0.05,0:1;1:1.25;2:1,0.95,0.6073871409028728,0.8342547406738552,False
0.05,0:1;1:1.25;2:1,1.0,0.6080711354309165,0.8351313927970908,False
0.05,0:1;1:1.25;2:1,1.05,0.6094391244870041,0.8364076542575651,False
0.05,0:1;1:1.25;2:1,1.1,0.615595075239398,0.838034439138619,False
0.05,0:1;1:1.25;2:1,1.15,0.6190150478796169,0.8399697183947883,False
0.05,0:1;1:1.25;2:1,1.2,0.6101231190150479,0.8421772879864965,False
0.1,none,0.85,0.6210670314637483,0.8399395385873232,False
0.1,none,0.95,0.6210670314637483,0.8361891436996344,False
0.1,none,1.0,0.6210670314637483,0.8351163501594115,False
0.1,none,1.05,0.6169630642954856,0.8344948588065058,False
0.1,none,1.1,0.6149110807113544,0.8342734045920691,False
0.1,none,1.15,0.6108071135430917,0.8344079055311158,False
0.1,none,1.2,0.6053351573187414,0.8348602215441072,False
0.1,0:1;1:1.25;2:1,0.85,0.6176470588235294,0.8345024348234623,False
0.1,0:1;1:1.25;2:1,0.95,0.6060191518467852,0.8347813231369017,False
0.1,0:1;1:1.25;2:1,1.0,0.6060191518467852,0.8356415669517056,False
0.1,0:1;1:1.25;2:1,1.05,0.6121751025991792,0.8369018246195187,False
0.1,0:1;1:1.25;2:1,1.1,0.6142270861833106,0.8385129946596647,False
0.1,0:1;1:1.25;2:1,1.15,0.6169630642954856,0.840433033231058,False
0.1,0:1;1:1.25;2:1,1.2,0.6108071135430917,0.8426257222235141,False
0.25,none,0.85,0.6217510259917921,0.8409359492548379,False
0.25,none,0.95,0.6217510259917921,0.8371534009506557,False
0.25,none,1.0,0.6203830369357045,0.8360649762451285,False
0.25,none,1.05,0.615595075239398,0.8354281398262035,False
0.25,none,1.1,0.612859097127223,0.8351916187291122,False
0.25,none,1.15,0.6114911080711354,0.8353113232790644,False
0.25,none,1.2,0.6053351573187414,0.835749105932094,False
0.25,0:1;1:1.25;2:1,0.85,0.6142270861833106,0.8352598795310054,False
0.25,0:1;1:1.25;2:1,0.95,0.6073871409028728,0.8355572164948957,False
0.25,0:1;1:1.25;2:1,1.0,0.6060191518467852,0.8364262886686921,False
0.25,0:1;1:1.25;2:1,1.05,0.6121751025991792,0.837695127670755,False
0.25,0:1;1:1.25;2:1,1.1,0.612859097127223,0.8393146435929095,False
0.25,0:1;1:1.25;2:1,1.15,0.6162790697674418,0.8412428033564936,False
0.25,0:1;1:1.25;2:1,1.2,0.6060191518467852,0.8434433988784477,False
