experiment,log_loss_2022_plus,accuracy_2022_plus,draw_predictions_2022_plus,log_loss_2022_world_cup,accuracy_2022_world_cup,draw_predictions_2022_world_cup,actual_draws_2022_world_cup,temperature,market_log_gap_threshold,base_transfer_fraction,rating_agreement_bonus,host_extra_transfer_fraction,force_weak_host_flip,use_effective_market,group_draw_multiplier,knockout_draw_multiplier,C,draw_shrinkage,min_altitude_m,max_transfer_fraction,selection,draw_multiplier,decision_threshold,decision_max_win_gap,shrinkage
gb_temperature_market_guardrail_wc_diagnostic_best,0.8631189333695933,0.607838695061169,43,0.9940543774244205,0.5625,2,15,,0.5,0.45,0.05,0.3,False,True,,,,,,,2022_wc_diagnostic,,,,
gb_temperature_two_stage_draw_effective_guardrail,0.8632171519899324,0.6073855913004078,48,1.0063567671164682,0.546875,2,15,,0.75,0.3,0.05,0.25,True,True,,,0.25,0.75,,,,,,,
gb_temperature_market_guardrail,0.8633209073791819,0.6076121431807884,43,1.0079842723982297,0.546875,2,15,,0.75,0.3,0.05,0.25,True,,,,,,,,,,,,
gb_temperature_effective_market_guardrail,0.8633209073791819,0.6076121431807884,43,1.0079842723982297,0.546875,2,15,,0.75,0.3,0.05,0.25,True,True,,,,,,,,,,,
gb_temperature_market_guardrail_plus_altitude,0.8633307868341732,0.6076121431807884,43,1.0079842723982297,0.546875,2,15,,0.75,0.3,0.05,0.25,True,,,,,,1500.0,0.04,,,,,
gb_temperature_market_guardrail_conservative,0.8633630754168417,0.6076121431807884,43,1.0108925492455823,0.546875,2,15,,1.0,0.2,0.05,0.15,False,,,,,,,,,,,,
gb_temperature_phase_draw_calibrated,0.863394565384955,0.6073855913004078,41,1.0130643729838944,0.53125,0,15,,,,,,,,0.85,0.85,,,,,,,,,
gb_temperature_two_stage_draw,0.8633597247098831,0.6071590394200271,48,1.0161898293955711,0.53125,2,15,,,,,,,,,,0.25,0.75,,,,,,,
gb_temperature_calibrated,0.8634634800991325,0.6073855913004078,43,1.0178173346773325,0.53125,2,15,1.1,,,,,,,,,,,,,,,,,
gb_temperature_altitude_adjusted,0.8634733595541239,0.6073855913004078,43,1.0178173346773325,0.53125,2,15,,,,,,,,,,,,1500.0,0.04,,,,,
gb_current,0.8640073844639369,0.6073855913004078,43,1.0187957870589264,0.53125,2,15,,,,,,,,,,,,,,,,,,
gb_shrink_to_prior,0.8640073844639368,0.6073855913004078,43,1.0187957870589264,0.53125,2,15,,,,,,,,,,,,,,,,,,0.0
gb_draw_decision_rule,0.8640073844639369,0.606705935659266,109,1.0187957870589264,0.515625,3,15,,,,,,,,,,,,,,,,0.28,0.02,
gb_draw_calibrated,0.8629716572697743,0.6057997281377435,96,1.0233586814454756,0.515625,5,15,1.0,,,,,,,,,,,,,,1.1,,,
stacking_meta_model,0.8612094264459887,0.6044404168554599,76,1.1051354021221158,0.515625,4,15,,,,,,,,,,0.05,,,,,,,,
stacking_plus_draw_calibration,0.8612094264459887,0.6044404168554599,76,1.1051354021221158,0.515625,4,15,1.0,,,,,,,,,,,,,,1.0,,,
logistic_current,0.8645837161188058,0.6044404168554599,200,1.1939129706197438,0.484375,5,15,,,,,,,,,,,,,,,,,,
