logistic_weight,gradient_boosting_weight,weight_label,log_loss_2022_plus,accuracy_2022_plus,log_loss_2022_world_cup,accuracy_2022_world_cup,best_2022_plus_log_loss,best_2022_world_cup_log_loss
0.0,1.0,0/100,0.8640073844639369,0.6073855913004078,1.0187957870589264,0.53125,False,False
0.1,0.9,10/90,0.8628923950671347,0.606705935659266,1.018150162090231,0.53125,False,False
0.2,0.8,20/80,0.8621338971693857,0.6071590394200271,1.0180530581200253,0.53125,False,True
0.3,0.7,30/70,0.8617109731082802,0.6080652469415496,1.0184933977860313,0.546875,False,False
0.4,0.6,40/60,0.8616110575236053,0.607838695061169,1.0194651719266514,0.546875,True,False
0.5,0.5,50/50,0.8618279740747891,0.6082917988219302,1.0209671606828954,0.546875,False,False
0.6,0.4,60/40,0.8623610656324145,0.6064793837788853,1.0230028581312833,0.546875,False,False
0.7,0.30000000000000004,70/30,0.8632150558719927,0.6062528318985048,1.0255805928211519,0.5625,False,False
0.8,0.19999999999999996,80/19,0.8644005809705252,0.6064793837788853,1.028713856024943,0.53125,False,False
0.9,0.09999999999999998,90/9,0.8659355803265956,0.6060262800181242,1.0324218710730557,0.5,False,False
1.0,0.0,100/0,0.8678481432650621,0.6030811055731763,1.0367304650051326,0.484375,False,False
